HouseholdID,Date,EnergyUsed,EnergyGeneratedFromRenewableSources,EnergyBought,EnergySold,TotalExpenditure
H5,2023-01-01,776.82,533.71,243.11,0.0,34.41
H5,2023-01-08,943.45,569.91,373.54,0.0,54.39
H5,2023-01-15,728.05,530.71,197.34,0.0,28.4
H5,2023-01-22,912.26,543.96,368.31,0.0,51.17
H5,2023-01-29,779.39,627.9,151.49,0.0,21.47
H5,2023-02-05,1040.04,476.22,563.82,0.0,76.31
H5,2023-02-12,897.04,641.38,255.66,0.0,34.78
H5,2023-02-19,950.21,762.34,187.87,0.0,26.43
H5,2023-02-26,789.83,463.02,326.81,0.0,46.19
H5,2023-03-05,868.29,999.79,0.0,131.5,-14.19
H5,2023-03-12,767.67,1163.91,0.0,396.24,-44.06
H5,2023-03-19,927.87,1110.4,0.0,182.53,-21.45
H5,2023-03-26,891.21,1162.84,0.0,271.63,-29.74
H5,2023-04-02,740.93,928.87,0.0,187.94,-20.74
H5,2023-04-09,843.07,923.0,0.0,79.94,-8.57
H5,2023-04-16,784.04,1070.14,0.0,286.1,-32.17
H5,2023-04-23,869.78,1083.35,0.0,213.57,-24.0
H5,2023-04-30,734.47,876.65,0.0,142.19,-16.19
H5,2023-05-07,990.53,1041.9,0.0,51.37,-5.73
H5,2023-05-14,848.68,931.91,0.0,83.23,-9.75
H5,2023-05-21,888.49,907.93,0.0,19.44,-2.11
H5,2023-05-28,757.65,1008.13,0.0,250.47,-27.91
H5,2023-06-04,773.8,1523.61,0.0,749.81,-85.36
H5,2023-06-11,791.95,1259.29,0.0,467.34,-50.52
H5,2023-06-18,949.18,1414.17,0.0,464.99,-52.19
H5,2023-06-25,772.57,1422.53,0.0,649.96,-74.65
H5,2023-07-02,852.02,1384.75,0.0,532.73,-61.35
H5,2023-07-09,743.65,1311.03,0.0,567.38,-62.66
H5,2023-07-16,674.74,1450.8,0.0,776.06,-86.02
H5,2023-07-23,1034.02,1286.85,0.0,252.84,-28.36
H5,2023-07-30,839.45,1483.85,0.0,644.4,-75.72
H5,2023-08-06,805.36,1446.4,0.0,641.03,-74.89
H5,2023-08-13,847.36,1390.11,0.0,542.75,-60.06
